"Daily Sale","December 2, 2021"
"",""
"Transaction ID","864214143822045"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","6","90"
"Mismo Royal","15","5","75"
"","","Total","165"
"",""
"Transaction ID","809440411884017"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Coke Mismo","12.5","3","37.5"
"Sprite Mismo","15","4","60"
"","","Total","97.5"
"",""
"Transaction ID","220015262713006"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","3","45"
"Coke Mismo","12.5","1","12.5"
"","","Total","57.5"
"",""
"Transaction ID","725404630363425"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","1"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"","","Total","15"
"",""
"Transaction ID","637463730924149"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"Coke Mismo","12.5","1","12.5"
"","","Total","27.5"
"",""
"Transaction ID","518997085951470"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","1"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","3","45"
"","","Total","45"
"",""
"Transaction ID","485840874586422"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"Coke Mismo","12.5","1","12.5"
"","","Total","27.5"
"",""
"Transaction ID","864214143822045"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","6","90"
"Mismo Royal","15","5","75"
"","","Total","165"
"",""
"Transaction ID","809440411884017"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Coke Mismo","12.5","3","37.5"
"Sprite Mismo","15","4","60"
"","","Total","97.5"
"",""
"Transaction ID","220015262713006"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","3","45"
"Coke Mismo","12.5","1","12.5"
"","","Total","57.5"
"",""
"Transaction ID","725404630363425"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","1"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"","","Total","15"
"",""
"Transaction ID","637463730924149"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"Coke Mismo","12.5","1","12.5"
"","","Total","27.5"
"",""
"Transaction ID","518997085951470"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","1"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","3","45"
"","","Total","45"
"",""
"Transaction ID","485840874586422"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"Coke Mismo","12.5","1","12.5"
"","","Total","27.5"
"",""
"Transaction ID","864214143822045"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","6","90"
"Mismo Royal","15","5","75"
"","","Total","165"
"",""
"Transaction ID","809440411884017"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Coke Mismo","12.5","3","37.5"
"Sprite Mismo","15","4","60"
"","","Total","97.5"
"",""
"Transaction ID","220015262713006"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","3","45"
"Coke Mismo","12.5","1","12.5"
"","","Total","57.5"
"",""
"Transaction ID","725404630363425"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","1"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"","","Total","15"
"",""
"Transaction ID","637463730924149"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"Coke Mismo","12.5","1","12.5"
"","","Total","27.5"
"",""
"Transaction ID","518997085951470"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","1"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","3","45"
"","","Total","45"
"",""
"Transaction ID","485840874586422"
"Cashier","Tan, Aldrian Rex"
"Status","Cashier"
"Items","2"
"Products","Price","Quantity","Amount"
"Sprite Mismo","15","1","15"
"Coke Mismo","12.5","1","12.5"
"","","Total","27.5"
